stress: info: [3244935] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244942] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244940] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244947] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244871] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244880] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244857] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244904] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244964] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244849] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244945] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244848] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244949] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244899] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244903] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244913] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244944] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244967] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244873] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244890] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244838] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244946] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244915] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244855] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244859] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244917] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244909] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244927] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244941] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244920] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
stress: info: [3244937] dispatching hogs: 1 cpu, 0 io, 0 vm, 0 hdd
